title,revenue,budget,genres,release_date,original_language,profit
GoodFellas,46835000,25000000,"Drama, Crime",9/12/1990,en,21835000
Drive,78054825,15000000,"Drama, Thriller, Crime",9/15/2011,en,63054825
Pacific Rim,411002906,180000000,"Action, Science Fiction, Adventure",7/11/2013,en,231002906
The Hunger Games: Mockingjay - Part 2,653428261,160000000,"Action, Adventure, Science Fiction",11/18/2015,en,493428261
Wreck-It Ralph,471222889,165000000,"Family, Animation, Comedy, Adventure",11/1/2012,en,306222889
Donnie Darko,7500000,6000000,"Fantasy, Drama, Mystery",10/24/2001,en,1500000
Ted,549368315,50000000,"Comedy, Fantasy",6/29/2012,en,499368315
The Great Gatsby,351040419,105000000,"Drama, Romance",5/9/2013,en,246040419
Moana,690860472,150000000,"Adventure, Comedy, Family, Animation",10/13/2016,en,540860472
The Shape of Water,195333312,19500000,"Drama, Fantasy, Romance",12/1/2017,en,175833312
Raiders of the Lost Ark,389925971,18000000,"Adventure, Action",6/12/1981,en,371925971
Zombieland,102391540,23600000,"Comedy, Horror",10/7/2009,en,78791540
Finding Dory,1028570889,200000000,"Adventure, Animation, Comedy, Family",6/16/2016,en,828570889
Me Before You,207945075,20000000,"Drama, Romance",6/1/2016,en,187945075
1917,394638258,100000000,"War, History, Thriller",12/25/2019,en,294638258
Call Me by Your Name,43143046,4000000,"Romance, Drama",9/1/2017,en,39143046
Silver Linings Playbook,236412453,21000000,"Drama, Comedy, Romance",11/16/2012,en,215412453
Shrek 2,928760770,150000000,"Animation, Family, Comedy, Fantasy, Adventure",5/19/2004,en,778760770
2012,791217826,200000000,"Action, Adventure, Science Fiction",10/10/2009,en,591217826
The Godfather Part II,102600000,13000000,"Drama, Crime",12/20/1974,en,89600000
American Beauty,356296601,15000000,Drama,9/15/1999,en,341296601
Prometheus,403354469,130000000,"Science Fiction, Adventure, Mystery",5/30/2012,en,273354469
The Social Network,224920315,40000000,Drama,10/1/2010,en,184920315
Pirates of the Caribbean: Dead Men Tell No Tales,795922298,230000000,"Adventure, Action, Fantasy",5/23/2017,en,565922298
Knives Out,312897920,40000000,"Comedy, Crime, Mystery",11/27/2019,en,272897920
Good Will Hunting,225933435,10000000,Drama,12/5/1997,en,215933435
Fifty Shades of Grey,571006128,40000000,"Drama, Romance, Thriller",2/11/2015,en,531006128
The Devil Wears Prada,326706115,35000000,"Comedy, Drama, Romance",6/29/2006,en,291706115
Taxi Driver,28600000,1900000,"Crime, Drama",2/9/1976,en,26700000
A Star Is Born,433888866,36000000,"Music, Drama, Romance",10/3/2018,en,397888866
Fury,211817906,68000000,"War, Drama, Action",10/15/2014,en,143817906
The Incredible Hulk,163712074,150000000,"Science Fiction, Action, Adventure",6/12/2008,en,13712074
Kick-Ass,96188903,28000000,"Action, Crime",3/22/2010,en,68188903
